"dateUTC","dateLocal","parameter","location","locationURL","value","unit","city","country","latitude","longitude"
2015-07-03 05:10:00,2015-07-03 10:40:00,"pm25","Anand Vihar","Anand+Vihar",143,"µg/m³","Delhi","IN",NA,NA
2015-07-03 07:00:00,2015-07-03 12:30:00,"pm25","Anand Vihar","Anand+Vihar",106,"µg/m³","Delhi","IN",NA,NA
2015-07-03 08:30:00,2015-07-03 14:00:00,"pm25","Anand Vihar","Anand+Vihar",71,"µg/m³","Delhi","IN",NA,NA
2015-07-03 09:10:00,2015-07-03 14:40:00,"pm25","Anand Vihar","Anand+Vihar",71,"µg/m³","Delhi","IN",NA,NA
2015-07-03 09:40:00,2015-07-03 15:10:00,"pm25","Anand Vihar","Anand+Vihar",64,"µg/m³","Delhi","IN",NA,NA
2015-07-03 10:10:00,2015-07-03 15:40:00,"pm25","Anand Vihar","Anand+Vihar",64,"µg/m³","Delhi","IN",NA,NA
2015-07-03 10:40:00,2015-07-03 16:10:00,"pm25","Anand Vihar","Anand+Vihar",66,"µg/m³","Delhi","IN",NA,NA
2015-07-03 11:10:00,2015-07-03 16:40:00,"pm25","Anand Vihar","Anand+Vihar",66,"µg/m³","Delhi","IN",NA,NA
2015-07-03 11:40:00,2015-07-03 17:10:00,"pm25","Anand Vihar","Anand+Vihar",60,"µg/m³","Delhi","IN",NA,NA
2015-07-03 12:10:00,2015-07-03 17:40:00,"pm25","Anand Vihar","Anand+Vihar",60,"µg/m³","Delhi","IN",NA,NA
2015-07-03 13:10:00,2015-07-03 18:40:00,"pm25","Anand Vihar","Anand+Vihar",62,"µg/m³","Delhi","IN",NA,NA
2015-07-03 14:10:00,2015-07-03 19:40:00,"pm25","Anand Vihar","Anand+Vihar",122,"µg/m³","Delhi","IN",NA,NA
2015-07-03 14:30:00,2015-07-03 20:00:00,"pm25","Anand Vihar","Anand+Vihar",76,"µg/m³","Delhi","IN",NA,NA
2015-07-03 15:10:00,2015-07-03 20:40:00,"pm25","Anand Vihar","Anand+Vihar",76,"µg/m³","Delhi","IN",NA,NA
2015-07-03 15:40:00,2015-07-03 21:10:00,"pm25","Anand Vihar","Anand+Vihar",94,"µg/m³","Delhi","IN",NA,NA
2015-07-03 16:10:00,2015-07-03 21:40:00,"pm25","Anand Vihar","Anand+Vihar",94,"µg/m³","Delhi","IN",NA,NA
2015-07-03 16:40:00,2015-07-03 22:10:00,"pm25","Anand Vihar","Anand+Vihar",43,"µg/m³","Delhi","IN",NA,NA
2015-07-03 17:10:00,2015-07-03 22:40:00,"pm25","Anand Vihar","Anand+Vihar",43,"µg/m³","Delhi","IN",NA,NA
2015-07-03 17:40:00,2015-07-03 23:10:00,"pm25","Anand Vihar","Anand+Vihar",50,"µg/m³","Delhi","IN",NA,NA
